Company Name,Target Status,Public Website Homepage URL,Domain from URL,Source,Street Address,City,State,Zipcode,Phone,Industries served -- Free text,Products and services offered -- Free text,Square footage (facility),Number of employees,Estimated Revenues (200K per empl),Years of operation,Ownership,Equipment (Yasda/Makino/Kern only),CNC 3-axis,CNC 5-axis,Spares/Repairs,Family business,User Notes,Jobs,Year Evidence URL,Year Evidence Snippet,Owner Evidence URL,Source URLs,First Seen,Last Seen,Last Update,Notes (Approach/Contacts/Info)
"Roembke Mfg. & Design, Inc.",,http://www.roembke.com,roembke.com,AMBA,1580 Baker Drive,Ossian,IN,46777,(260) 622-4135,Medical (LSR/HCR); thermoplastic,"LSR & HCR tooling/systems; FAT in-house; LSR parts to ~0.007 g; HCR compression/transfer/injection (various); thermoplastic molds; 2K (LSR-LSR; LSR-thermoplastic; overmold); proprietary Cold Deck (1–64 drops); QPS rapid iteration; turnkey cells (EOAT, robotics, training, pre-production, automation)",62000,,,48,,,,,Yes,,,,,,,http://www.roembke.com,8/26/2025 19:16,8/26/2025 19:16,8/26/2025 19:16,
SIMCO – Southern Indiana Mold Corp.,,http://www.soindmoldcorp.com,soindmoldcorp.com,AMBA,"2945 N. State Highway 3, P.O. Box 119",North Vernon,IN,47265,(812) 346-2622,Plastic mold design & manufacturing (general),Professional/ethical workplace; continuous improvement; customer-focused quality,,,,,,,,,,,,,,,,http://www.soindmoldcorp.com|http://www.soindmoldcorp.com/contact.php,8/26/2025 19:17,8/26/2025 19:17,8/26/2025 19:17,
ASH Industries,,http://www.ashindustries.com,ashindustries.com,AMBA,1330 W. Willow St.,Lafayette,LA,70506,(337) 235-0977,Medical; defense; industrial; electronics; startups/entrepreneurs,"Plastic injection molding (35–850T); metal injection molding (MIM); Liquid Silicone Rubber (LIM/LSR) molding; rotational molding; in-house toolroom (5-axis CNC, EDM); mold validation; DFM; assembly/packaging; low-volume/bridge; mold transfer support; ISO 13485 Class 7 cleanroom; ISO 9001 compliant",,,,,,,,Yes,,,,Openings listed,,,,http://www.ashindustries.com|https://www.ashindustries.com/about-ash-industries-molders|https://www.ashindustries.com/careers-at-ash|https://www.ashindustries.com/contact-ash,8/26/2025 19:17,8/26/2025 19:17,8/26/2025 19:17,
Prime Manufacturing Technologies,,http://www.primemfgtech.com,primemfgtech.com,AMBA,8735 Bollman Place,Savage,MD,20763,(301) 604-0900,Agriculture; automotive; construction; Department of Defense; technology; healthcare; telecommunication,Plastic injection molding; silicone molding; metal injection molding (MIM); CNC milling/turning; EDM; 6-axis robotic sub-assembly; composite casting (military); reverse engineering; RFID part tagging; selective 3D printing for quick-turn tooling,,,,,,,Yes,Yes,Yes,,,,,,,http://www.primemfgtech.com,8/26/2025 19:17,8/26/2025 19:17,8/26/2025 19:17,
"Accu-Die & Mold, Inc.",,http://www.accu-die.com,accu-die.com,AMBA,,,,,,Die casting (aluminum & magnesium),Engineering; design; construction; inspection; dies for 300–1600 ton; rapid prototypes to high-volume; high-speed machining; Wire & CNC EDM; 22 CNC machining centers; Zeiss CMM; laser welding; reverse engineering to 3D models,31000,,,34,,,Yes,Yes,Yes,,,,,,,http://www.accu-die.com|http://www.accu-die.com/aboutus.htm|http://www.accu-die.com/capabilities.htm|http://www.accu-die.com/contactus.htm,8/26/2025 19:17,8/26/2025 19:17,8/26/2025 19:17,
Baumann Tool & Die,,http://www.baumanntd.com,baumanntd.com,AMBA,,,,,(616) 772-6768,West Michigan customers (general),Prototype molding fixtures; CNC milling & turning; aluminum/Ren board urethane cast molds; inserts; automation components; low-volume molding; steel/aluminum/plastic parts,,,,30,,,Yes,,Yes,,,,,,,http://www.baumanntd.com,8/26/2025 19:17,8/26/2025 19:17,8/26/2025 19:17,
Best Tool & Engineering (BTE),,http://www.bteplastics.com,bteplastics.com,AMBA,34730 Nova Drive,Clinton Township,MI,48035,(586) 792-4119,Various incl. automotive/industrial/consumer,Plastic injection molding; plastic vibration welding; hot plate welding (tooling & production); in-house tool/mold build; fixtures; DFM; apprenticeship & CI culture,,,,34,,,Yes,,Yes,,,,,,,http://www.bteplastics.com|http://www.bteplastics.com/contact/,8/26/2025 19:18,8/26/2025 19:18,8/26/2025 19:18,
Byrne Tool + Design,,http://www.byrne-tool.com,byrne-tool.com,AMBA,316 Byrne Industrial Dr NE,Rockford,MI,49341,(616) 866-4479,Tool & die shop (general),Additive manufacturing; design; tooling services; rapid problem solving,,,,28,,,,,,,,,,,,http://www.byrne-tool.com,8/26/2025 19:18,8/26/2025 19:18,8/26/2025 19:18,
Classic Die,,http://www.classicdie.com,classicdie.com,AMBA,610 Plymouth NE,Grand Rapids,MI,49505,(616) 454-3760,Automotive; medical; dental; consumer,"Custom injection molds; mold repair (quick turn); custom CNC & EDM; gun drilling; mold sampling 30–700 ton; short-run production; laser welding; tools up to 10,000 lbs",,,,47,,,Yes,Yes,Yes,,,,,,,http://www.classicdie.com,8/26/2025 19:18,8/26/2025 19:18,8/26/2025 19:18,
Commercial Tool Group,,http://www.commercialtoolgroup.com,commercialtoolgroup.com,AMBA,5351 Rusche Dr NW,Comstock Park,MI,49321,(616) 785-8100,Automotive (interior/exterior); appliance; consumer goods; hardware; heavy truck; RV,"Injection molds (tryout 85–2,500 ton); compression molds; robotic automation cells; fixtures; tooling; gauges; vision systems; program management; feasibility & advanced engineering",,,,56,,,Yes,Yes,Yes,,,CNC Machinist; Machinist,,,,http://www.commercialtoolgroup.com|http://www.commercialtoolgroup.com/contact-us/|http://www.commercialtoolgroup.com/contact-commercial-tool-and-die/|http://www.commercialtoolgroup.com/contact-cg-plastics|http://www.commercialtoolgroup.com/contact-cg-automation-and-fixture|http://www.commercialtoolgroup.com/about-ctg/why-choose-us/|http://www.commercialtoolgroup.com/about-ctg/markets-served/|http://www.commercialtoolgroup.com/about-ctg/news|http://www.commercialtoolgroup.com/careers/|http://www.commercialtoolgroup.com/about-ctg/accreditations/|http://www.commercialtoolgroup.com/contact-us,8/26/2025 19:18,8/26/2025 19:18,8/26/2025 19:18,
CS Tool Engineering,,http://www.cste.com,cste.com,AMBA,,,,,,Precision plastic injection molds; metal fabrication,Full mold design/build; multi-axis CNC; automated robotic CNC cell; in-house welding (incl. Inconel/aluminum); machining; finishing; metrology/CMM; digital scanning; rapid prototyping; dedicated transport fleet,,,,57,,,Yes,,Yes,,,,,,,http://www.cste.com,8/26/2025 19:20,8/26/2025 19:20,8/26/2025 19:20,
"Deppe Mold and Tooling, Inc.",,http://www.deppemold.com,deppemold.com,AMBA,2814 Franklin Ave SW,Grandville,MI,49418,(616) 530-1331,Precision moldmaking,CNC machining; EDM (wire/sinker); mold making; design; polishing; 5-axis CNC (Makino D200Z automation); Makino F9/F5/S56/V55; Toshiba boring mill; hoist; pickup & delivery,,23,4600000,28,,Makino,Yes,Yes,Yes,,,,,,,http://www.deppemold.com,8/26/2025 19:20,8/26/2025 19:20,8/26/2025 19:20,
Die-Tech & Engineering,,http://www.dietech-gr.com,dietech-gr.com,AMBA,4620 Herman Ave. SW,Wyoming,MI,49509,(616) 530-9030,Tooling for various industries,Design-to-build tooling; CNC machining; die casting dies; urgent response programs,,,,56,,,Yes,,Yes,,,,,,,http://www.dietech-gr.com|http://www.dietech-gr.com/contact,8/26/2025 19:20,8/26/2025 19:20,8/26/2025 19:20,
"Eifel, Inc.",,http://www.eifel-inc.com,eifel-inc.com,AMBA,31071 Fraser Drive,Fraser,MI,48026,(586) 296-9640,Automotive; consumer goods; electronics; RV; EV; UTV/SxS,Full-service mold design & manufacturing; production molds; rapid prototypes; die-cast tooling; studio consulting; tryout support; on-site design reviews; advanced 5-axis CNC with zero-stock machining,,,,,,,Yes,Yes,Yes,,,Machinist,,,,http://www.eifel-inc.com|https://www.eifel-inc.com/careers/|https://www.eifel-inc.com/contact-us/|https://www.eifel-inc.com/industries/|http://www.eifel-inc.com/contact-us/,8/26/2025 19:20,8/26/2025 19:20,8/26/2025 19:20,
Team Elite,,http://teameliteonline.com,teameliteonline.com,AMBA,,,,,,,,Website placeholder,,,,,,,,,,,,,,,http://teameliteonline.com,8/26/2025 19:21,8/26/2025 19:21,8/26/2025 19:21,
Franchino Mold & Engineering,,http://www.franchino.com,franchino.com,AMBA,5599 West Grand River Avenue,Lansing,MI,48906,(517) 321-5609,Die-cast dies; plastic injection molds,"Engineering & design; contract machining; die & mold repair; tool building for 60–6,000 ton presses; medium to large tools up to 200,000 lbs",,,,70,,,Yes,Yes,Yes,,,,,,,http://www.franchino.com|http://www.franchino.com/contact/location/,8/26/2025 19:22,8/26/2025 19:22,8/26/2025 19:22,
Artiflex Manufacturing,,http://www.gendie.com,gendie.com,AMBA,2354 Bellingham Dr.,Troy,MI,48083,,Automotive; advanced manufacturing,Die tooling design & manufacturing; flexible robotic automation; body-in-white tooling; prototyping; low-volume production; ISO 9001; IATF 16949; ITAR,,,,,,,Yes,,,,,,,,,http://www.gendie.com,8/26/2025 19:22,8/26/2025 19:22,8/26/2025 19:22,
"H&S Mold, Inc.",,http://www.hs-mold.biz,hs-mold.biz,AMBA,,Gaylord,MI,49735,(989) 732-3566,Injection & hydroform molds,"CAD (SolidWorks, Mastercam); full-service design/build; CNC machining; EDM; wire EDM; gun drilling; mold sampling; short-run production; repair; grinders; lathes; presses; inspection instruments",10000,,,,Family-owned,,Yes,Yes,Yes,Yes,,,,,,http://www.hs-mold.biz|https://www.hs-mold.biz/services/|https://www.hs-mold.biz/equipment/|https://www.hs-mold.biz/contact-us/,8/26/2025 19:22,8/26/2025 19:22,8/26/2025 19:22,
Hanson International,,http://www.hansoninternational.com,hansoninternational.com,AMBA,,,,,,,,Website placeholder,,,,,,,,,,,,,,,http://www.hansoninternational.com,8/26/2025 19:23,8/26/2025 19:23,8/26/2025 19:23,
Johnson Precision Mold & Engineering,,https://www.johnsonmold.com/,johnsonmold.com,AMBA,1001 Haines Blvd.,Sturgis,MI,49091,(269) 651-2553,Injection molds (various),Custom injection molds; continuous growth; advanced equipment; workforce training,,,,34,,,Yes,,,,,,,,,https://www.johnsonmold.com/|https://www.johnsonmold.com/Equipment-Software|https://www.johnsonmold.com/equipment-software|https://www.johnsonmold.com/about-us|https://www.johnsonmold.com/contact-us,8/26/2025 19:23,8/26/2025 19:23,8/26/2025 19:23,
Krieger Craftsmen,,http://www.kriegercraftsmen.com,kriegercraftsmen.com,AMBA,2758 3 Mile Rd NW,Grand Rapids,MI,49534,(616) 735-9200,Automotive lighting; high-precision tooling,"High-cavitation; fast-cycle; tight-tolerance molds; stack; two-shot; unscrewing; prototypes; CAD/CAM (VISI, WorkNC); automation & robotics",,,,27,,,Yes,Yes,Yes,,,mold maker,,,,http://www.kriegercraftsmen.com|http://www.kriegercraftsmen.com/contact-us|http://www.kriegercraftsmen.com/manufacturing/equipment|http://www.kriegercraftsmen.com/about-us|http://www.kriegercraftsmen.com/about-us/video-virtual-tour|http://www.kriegercraftsmen.com/about-us/careers|http://www.kriegercraftsmen.com/about-us/global-tool-sourcing|http://www.kriegercraftsmen.com/about-us/2016-leadtime-leader|http://www.kriegercraftsmen.com/contact-us/data-transfer|http://www.kriegercraftsmen.com/about-us?view=article&id=18,8/26/2025 19:23,8/26/2025 19:23,8/26/2025 19:23,
Legacy Precision Molds,,http://www.legacyprecisionmolds.com,legacyprecisionmolds.com,AMBA,,,,,(616) 532-6536,Custom injection molds,New molds; engineering changes; mold repairs; custom machining; tight tolerances to 0.0005",,,,29,,,Yes,,Yes,,,,,,,http://www.legacyprecisionmolds.com,8/26/2025 19:24,8/26/2025 19:24,8/26/2025 19:24,
Liberty Molds,,http://www.libertymolds.com,libertymolds.com,AMBA,8631 Portage Industrial Drive,Portage,MI,49024,(269) 327-0997,Automotive interiors; appliance; medical; dental; consumer goods; furniture; hydraulic; military,Close-tolerance prototype & production tooling; shuttle; two-shot; hot runner; unscrewing; stack molds; precision machining; EDM (wire/sinker); hole drilling; ECs & repair; remote tryout viewing,13400,26,5200000,39,,,Yes,Yes,Yes,,,,,,,http://www.libertymolds.com|https://www.libertymolds.com/aboutus|https://www.libertymolds.com/equipmentlist|https://www.libertymolds.com/contact,8/26/2025 19:24,8/26/2025 19:24,8/26/2025 19:24,
MC Molds,,http://www.mcmolds.com,mcmolds.com,AMBA,845 Progress Court,Williamston,MI,48895,(517) 655-5481,Containers; plastics,Mold design (CAD modeling); container design; mold building; repair & refurbishing; trim tooling; detabbers,,,,,,,Yes,,Yes,,,,,,,http://www.mcmolds.com,8/26/2025 19:24,8/26/2025 19:24,8/26/2025 19:24,
Maximum Mold Group,,http://www.maximummoldgroup.com,maximummoldgroup.com,AMBA,,,Southwestern Michigan,,,Aerospace; agriculture; automotive; defense; health; military; appliance,Die cast & plastic injection molds; thermoplastic & thermoset compression molds; precision machined components; blow molds; prototyping; engineering; design; assembly & testing,,,,28,Family-owned,,,,,,,Machinist,,,,http://www.maximummoldgroup.com|http://www.maximummoldgroup.com/careers.htm|http://www.maximummoldgroup.com/contactus.htm,8/26/2025 19:24,8/26/2025 19:24,8/26/2025 19:24,
Clarion Technologies (Concept Molds),,http://www.conceptmolds.com,conceptmolds.com,AMBA,,,,,(616) 698-7277,Automotive; appliance; consumer,Two-shot; multi-shot; gas-assist; applique; overmolding; insert molding; integrated glass assemblies; decoration; formed glass; pad printing; hot stamping; hydrographics; vibration & ultrasonic welding; tooling management; product development,,,,,,,Yes,,Yes,,,,,,,http://www.conceptmolds.com,8/26/2025 19:25,8/26/2025 19:25,8/26/2025 19:25,
Midwest Die Corporation,,http://www.midwestdiecorp.net,midwestdiecorp.net,AMBA,9220 1st St,Baroda,MI,49101,(269) 422-2171,Die-cast dies: aluminum; zinc; magnesium; squeeze dies; multi-slide manifolds,"DFM & prototyping; cavity replacement; repairs & revisions; high-precision CNC (13 CNCs, 2 EDMs); conformal cooling & advanced cooling circuits; climate-controlled 20,000 sq ft facility",20000,,,35,,,Yes,,Yes,,,,,,,http://www.midwestdiecorp.net|http://www.midwestdiecorp.net/index.php/about-us|http://www.midwestdiecorp.net/index.php/services|http://www.midwestdiecorp.net/index.php/contact-us,8/26/2025 19:25,8/26/2025 19:25,8/26/2025 19:25,
"Model Die & Mold, Inc.",,http://www.modeldie.com,modeldie.com,AMBA,3859 Roger B Chaffee Memorial Dr SE,Wyoming,MI,49548,(616) 243-6996,Aerospace (carbon fiber); automotive; heavy truck; kitchen/bath; consumer; architectural; military & defense,Compression molds; injection molds; carbon fiber molds; die-cast dies; engineering; machining; mold sampling; repair; advanced CNC (27+ centers; 5-axis; gun drilling; EDM); 65+ skilled tradesmen,,,,59,Family-owned,,Yes,Yes,Yes,Yes,,,,,,http://www.modeldie.com|http://www.modeldie.com/about-us|http://www.modeldie.com/about-us/equipment-list|http://www.modeldie.com/about-us/the-team|http://www.modeldie.com/about-us/photo-gallery|http://www.modeldie.com/contact-us|http://www.modeldie.com/contact-us/map-directions|http://www.modeldie.com/contact-us/visitor-info,8/26/2025 19:25,8/26/2025 19:25,8/26/2025 19:25,
Paragon D&E,,http://www.paragonde.com,paragonde.com,AMBA,5225 33rd St. SE,Grand Rapids,MI,49512,(616) 949-2220,Automotive; heavy truck; aerospace; oil & gas; recreation; nuclear energy; military & defense; agriculture,Compression; injection; hydroform molds; RTM tooling; precision machining; nuclear waste packaging; tooling repair; low-volume production; contract machining; fixture engineering; mold tryouts; prototyping,170000,,,83,,,Yes,Yes,Yes,,,,,,,http://www.paragonde.com,8/26/2025 19:26,8/26/2025 19:26,8/26/2025 19:26,
"Precision Tool & Mold, LLC",,http://www.precisionmoldusa.com,precisionmoldusa.com,AMBA,620 Easy Street,Ironwood,MI,49938,(906) 932-3440,Consumer products; fasteners; industrial; medical; packaging,"High-precision multi-cavity molds; mold repair; revisions; contract manufacturing; in-house polishing & laser welding; high-speed milling; EDM; wire EDM; CAD/CAM (Pro-E, SolidWorks, Mastercam)",,,,28,Family-oriented,,Yes,Yes,Yes,Yes,,Openings listed,,,,http://www.precisionmoldusa.com|http://www.precisionmoldusa.com/industries-served.html|http://www.precisionmoldusa.com/equipment.html|http://www.precisionmoldusa.com/about-us.html|http://www.precisionmoldusa.com/contact-us.html|http://www.precisionmoldusa.com/careers.html,8/26/2025 19:26,8/26/2025 19:26,8/26/2025 19:26,
Quality Molds,,http://www.quality-molds.com,quality-molds.com,AMBA,,,,,,,,Website placeholder,,,,,,,,,,,,,,,http://www.quality-molds.com,8/26/2025 19:26,8/26/2025 19:26,8/26/2025 19:26,
"Select Tool & Die, Inc.",,http://www.select-tool.com,select-tool.com,AMBA,9170 First St.,Baroda,MI,49101,(269) 422-2812,Tooling & molds,"Prototype molds; die-cast tooling; aluminum & zinc production dies; plastic & rubber molds; repairs & engineering changes; core pin replacement; fixtures for machining/assembly/CMM; low/medium volume machining; CAD/CAM (Surfcam, Cimatron, SolidWorks)",,,,,,,Yes,,Yes,,,,,,,http://www.select-tool.com|http://www.select-tool.com/equipment.html|http://www.select-tool.com/contact.html,8/26/2025 19:26,8/26/2025 19:26,8/26/2025 19:26,
SyBridge Technologies (Action Mold),,http://www.actionmold.net,actionmold.net,AMBA,265 Spring Lake Drive,Itasca,IL,60143,(833) 824-1116,Life sciences; health & beauty; consumer products; aerospace; mobility & industrial,Design & engineering; 3D printing; tooling & mold manufacturing; advanced manufacturing & injection molding; reliability services; conformal cooling,,,,44,,,Yes,Yes,Yes,,,,,,,http://www.actionmold.net|http://www.actionmold.net/Capabilities,8/26/2025 19:26,8/26/2025 19:26,8/26/2025 19:26,
"TK Mold & Engineering, Inc.",,http://www.tkmoldeng.com,tkmoldeng.com,AMBA,131 Shafer Dr.,Romeo,MI,48065,(586) 752-5840,Automotive; medical; aerospace; defense; consumer goods; electric vehicles,"In-house design; CNC machining (3-, 4-, 5-axis); EDM (sinker with robotic cell); CMM quality; engineering changes & repairs; production molding (200/300/730 ton); production machining",,,,22,,,Yes,Yes,Yes,,,Mold Maker,,,,http://www.tkmoldeng.com|https://www.tkmoldeng.com/about|https://www.tkmoldeng.com/services|https://www.tkmoldeng.com/careers|https://www.tkmoldeng.com/contact,8/26/2025 19:27,8/26/2025 19:27,8/26/2025 19:27,
Venture Global Engineering,,http://www.ventureglobalengineering.com,ventureglobalengineering.com,AMBA,42500 Mound Rd,Sterling Heights,MI,48314,(586) 739-9542,Automotive; aerospace; medical; consumer; defense,Mold design & consulting; new mold builds; emergency repairs (24/7); secondary machine builds; shipping racks; imported tooling localization (100+ tools/yr); CNC machining; EDM; boring mills; spotting presses; multiple MI locations,,,,42,,,Yes,Yes,Yes,,,Openings listed,,,,http://www.ventureglobalengineering.com|https://www.ventureglobalengineering.com/about/|https://www.ventureglobalengineering.com/services/mold-design/|https://www.ventureglobalengineering.com/services/mold-design-consulting/|https://www.ventureglobalengineering.com/services/new-mold-builds/|https://www.ventureglobalengineering.com/services/mold-repair-engineering-changes/|https://www.ventureglobalengineering.com/services/imported-tooling/|https://www.ventureglobalengineering.com/services/secondary-assembly-equipment/|https://www.ventureglobalengineering.com/careers/|https://www.ventureglobalengineering.com/contact/|http://www.ventureglobalengineering.com/contact/#request-quote|http://www.ventureglobalengineering.com/services/mold-design/,8/26/2025 19:27,8/26/2025 19:27,8/26/2025 19:27,
Viking Tool & Engineering,,http://www.vikingtooleng.com,vikingtooleng.com,AMBA,2780 E Colby St,Whitehall,MI,49461,(231) 893-0031,Automotive; appliance; furniture; household; medical; electrical & infrastructure (compression),"New tool builds; engineering changes; repairs; compression molds; tool steels P20/H13; crane capacity 40,000 lbs",25000,,,70,,,Yes,,Yes,,,,,,,http://www.vikingtooleng.com,8/26/2025 19:28,8/26/2025 19:28,8/26/2025 19:28,
"Zero Tolerance, LLC",,http://www.zerotolerancecnc.com,zerotolerancecnc.com,AMBA,44695 Enterprise Drive,Clinton Township,MI,48038,(586) 630-3032,Medical; automotive; consumer; military,Plastic injection molds (design/build); 5-axis machining (Makino F5 5XR); YCM RX65; sinker & wire EDM; CNC programming/fixturing; 3D printing (plastic & metal); bench & spotting; CMM inspection,,,,19,,Makino,Yes,Yes,Yes,,,,,,,http://www.zerotolerancecnc.com|https://www.zerotolerancecnc.com/contact|https://www.zerotolerancecnc.com/about-us|https://www.zerotolerancecnc.com/services,8/26/2025 19:28,8/26/2025 19:28,8/26/2025 19:28,
"BME Tool, Inc.",,http://www.bmetool.biz,bmetool.biz,AMBA,101 Delaware St.,Lonsdale,MN,55046,(507) 744-5581,Automotive; consumer; medical; industrial,"Prototype & production molds (single/multi-cavity); mold repair & revisions (incl. offshore); custom machining; dies; fixtures; roller dies; CAD/CAM (SolidWorks, Mastercam)",,,,26,Family-owned (Vern & Paul Bongers),,Yes,Yes,Yes,Yes,,,,,,http://www.bmetool.biz|http://www.bmetool.biz/about-b-m-e-tool/|http://www.bmetool.biz/services/|http://www.bmetool.biz/equipment-software/|http://www.bmetool.biz/contact-us/|https://www.bmetool.biz/contact-us/|https://www.bmetool.biz/about-b-m-e-tool/|https://www.bmetool.biz/equipment-software/,8/26/2025 19:28,8/26/2025 19:28,8/26/2025 19:28,
Diamond Tool & Engineering,,http://www.diamondtande.com,diamondtande.com,AMBA,205 2nd Ave NW,Bertha,MN,56437,(218) 924-4024,Medical; electronics; automotive; consumer,Injection; LSR; MIM; insert; multi-shot; unscrewing; hot runner molds; DFM; 3D CAD/CAM; fill analysis; mold building; sampling; optimization; repair & maintenance; lean manufacturing,,,,36,,,Yes,Yes,Yes,,,,,,,http://www.diamondtande.com|https://www.diamondtande.com/about|https://www.diamondtande.com/services|https://www.diamondtande.com/contact,8/26/2025 19:29,8/26/2025 19:29,8/26/2025 19:29,
"Dynamic Group, Inc.",,http://www.dynamicgroup.com,dynamicgroup.com,AMBA,2000 13911 Unity St. NW,Ramsey,MN,55303,(763) 780-8674,Medical devices; firearms; industrial; agriculture; commercial,Precision injection molding (20–400T); custom mold tooling (plastic & metal); multi-shot & insert molding; assembly & packaging; prototype & short-run; EDM; CNC; grinding; welding; laser marking; ISO 13485; FDA registered; Class 7 & 8 cleanrooms,,,,47,Family-owned,,Yes,,Yes,Yes,,,,,,http://www.dynamicgroup.com|https://www.dynamicgroup.com/about/|https://www.dynamicgroup.com/about/employees/|https://www.dynamicgroup.com/about/facilities/|https://www.dynamicgroup.com/contact/|https://www.dynamicgroup.com/contact/rfq/,8/26/2025 19:29,8/26/2025 19:29,8/26/2025 19:29,
Excelsior Tool,,http://www.excelsiortool.com,excelsiortool.com,AMBA,,,,,,,,Website placeholder,,,,,,,,,,,,,,,http://www.excelsiortool.com,8/26/2025 19:29,8/26/2025 19:29,8/26/2025 19:29,
Mo-Tech Corporation,,http://www.mo-tech.com,mo-tech.com,AMBA,2920 Granada Ave N,Oakdale,MN,55128,(651) 770-1515,Automotive; consumer; aerospace; defense,Injection molds; die-cast dies (up to 1600 tons); mold bases; trim dies; fixtures; prototypes; design & engineering; CNC machining; EDM; inspection,,,,64,,,Yes,Yes,Yes,,,,,,,http://www.mo-tech.com|http://www.mo-tech.com/services|http://www.mo-tech.com/services#die-castdies|http://www.mo-tech.com/services#injectionmolds|http://www.mo-tech.com/services#Moldbases|http://www.mo-tech.com/services#Trimdies|http://www.mo-tech.com/services#Fixturetooling|http://www.mo-tech.com/services#Designandengineeringhelp|http://www.mo-tech.com/services#Prototypeparts|http://www.mo-tech.com/equipment|http://www.mo-tech.com/about-us|http://www.mo-tech.com/contact,8/26/2025 19:29,8/26/2025 19:29,8/26/2025 19:29,
Mold Craft,,http://www.mold-craft.com,mold-craft.com,AMBA,,,,,(651) 426-3216,Medical devices; electronics; consumer products; defense,Precision micro molds; custom injection molds; ±0.0001" tolerances; multi-mold high-cavitation projects; mold design/build/sampling; PQP (Precision Quality Process),,,,60,,,Yes,,Yes,,,,,,,http://www.mold-craft.com|http://www.mold-craft.com/about/#our-molds-arent-quite-perfect|http://www.mold-craft.com/about/#interchangeability|http://www.mold-craft.com/about/#high-cavitation|http://www.mold-craft.com/about/#ingenuity|http://www.mold-craft.com/about/community-involvement/|http://www.mold-craft.com/contact/start-a-project/,8/26/2025 19:30,8/26/2025 19:30,8/26/2025 19:30,
Mold-Tech Inc.,,http://www.mold-techinc.com,mold-techinc.com,AMBA,5166 Barthel Industrial Drive NE,Albertville,MN,55301,(763) 497-7500,Medical; automotive; consumer; defense; electronics,Close-tolerance injection molds; prototype/bridge/production; multi-cavity; hot runner; auto unscrewing; insert; stack; silicone; shuttle; multi-shot; MIM molds; full CAD/CAE/CAM; mold flow/warpage/thermal; CNC; wire & sinker EDM; hard milling; automation; polishing; laser welding/marking; ISO 9001; ITAR,,,,47,,,Yes,Yes,Yes,,,,,,,http://www.mold-techinc.com|http://www.mold-techinc.com/services|http://www.mold-techinc.com/services/engineering|http://www.mold-techinc.com/services/moldmaking|http://www.mold-techinc.com/services/quality|http://www.mold-techinc.com/services/mold-sampling|http://www.mold-techinc.com/services/additional-services|http://www.mold-techinc.com/capabilities|http://www.mold-techinc.com/capabilities/equipment|http://www.mold-techinc.com/careers|http://www.mold-techinc.com/contact,8/26/2025 19:31,8/26/2025 19:31,8/26/2025 19:31,
Moldworks Inc.,,http://www.moldworks.com,moldworks.com,AMBA,208 Maple Grove,Minnesota,MN,55369,(763) 493-3134,,,Company focused on tool design & manufacturing; confidentiality & quality emphasis,,,,,,,,,,,,,,,http://www.moldworks.com|http://www.moldworks.com/about-us|http://www.moldworks.com/contact-us,8/26/2025 19:31,8/26/2025 19:31,8/26/2025 19:31,
"Tolerance Tool, LLC",,http://www.tolerancetool.com,tolerancetool.com,AMBA,2263 McKnight Rd N.,Maplewood,MN,55109,(651) 770-5918,"Medical (pharma, diagnostics, implantables); automotive; consumer; energy; industrial",High-volume thermoplastic & silicone molds; micro; multi-shot; rotational; insert/overmold; CAD; CNC; EDM; inspection; grinding; prototype-to-production; legacy support; max press 500 ton,,,,44,,,Yes,Yes,Yes,,,,,,,http://www.tolerancetool.com,8/26/2025 19:32,8/26/2025 19:32,8/26/2025 19:32,
Adler / R&D Leverage US,,http://www.rdleverage.com,rdleverage.com,AMBA,1008 SE Browning St.,Lee’s Summit,MO,64081,(415) 329-6877,Medical; consumer; industrial,ISBM & IBM blow molds; custom multi-cavity injection molds (Class 101+); product solutions labs for validation; engineering; design; testing; sampling; 35+ patents,188000,,,49,,,Yes,,Yes,,,,,,,http://www.rdleverage.com,8/26/2025 19:32,8/26/2025 19:32,8/26/2025 19:32,
Vector Tool & Engineering,,http://www.vectortool.com,vectortool.com,AMBA,4208 E 135th St.,Grandview,MO,64030,(816) 966-1901,Injection molds (various),Plastic injection mold manufacturing; repairs & revisions; custom components; precision machining; mold sampling,30000,,,49,,,Yes,,Yes,,,,,,,http://www.vectortool.com,8/26/2025 19:32,8/26/2025 19:32,8/26/2025 19:32,
Ameritech Die & Mold,,http://www.amdiemold.com,amdiemold.com,AMBA,107 Knob Hill Road,Mooresville,NC,28117,(704) 664-0801,Automotive; aerospace; medical; consumer goods,Engineering; new mold builds; engineering changes; mold repairs; 5-axis machining; CNC EDM (wire & sinker); gun drilling; welding; mold sampling & validation; apprenticeship program,,,,40,,,Yes,Yes,Yes,,,,,,,http://www.amdiemold.com|http://www.amdiemold.com/about-us|http://www.amdiemold.com/about-us/video-virtual-tour|http://www.amdiemold.com/equipment|http://www.amdiemold.com/capabilities|http://www.amdiemold.com/careers|http://www.amdiemold.com/contact-us|http://www.amdiemold.com/contact-us/map-directions,8/26/2025 19:32,8/26/2025 19:32,8/26/2025 19:32,
